For those in Hawai‘i in need of help: you can call the Crisis Line at (800) 753-6879 or text “ALOHA” to 741741.  Mental health professionals are available 24/7 and are ready to help you.,2020-05-13 20:18:35,Twitter Web App,0,2
During this pandemic it’s more important than ever to care for your mental health — especially if you’re working on the front lines. #MentalHealthAwarenessMonth,2020-05-13 20:18:35,Twitter Web App,2,11
Our new bill will make sure that Hawai‘i families who are struggling to get by during this crisis can still make their rent and keep the lights on.  We have to do everything we can to keep families in their homes. https://t.co/EGBkDa8K0H,2020-05-11 22:17:30,TweetDeck,0,15
Rural hospitals &amp; health care providers across Hawai‘i provide essential care to thousands of Hawai‘i families. This new federal funding will help our rural health care providers so they can weather this pandemic &amp; continue to provide high quality care. https://t.co/I0UckOtWbE,2020-05-05 21:55:00,TweetDeck,2,13
The #2020Census will decide how billions of federal dollars for housing education health care &amp; transportation are allocated across the country.   It only takes 10 minutes to #GetCounted &amp; help Hawai‘i get its fair share of these resources.   Visit https://t.co/n1cA5guVHk https://t.co/hfUNAiMSf4,2020-05-05 18:58:55,Twitter Web App,4,8
Nonprofits are fast they are nimble and they are on the frontlines of the #COVID19 response. As we ask them to do more they are facing revenue shortfalls.  These institutions are absolutely pivotal to our survival and recovery – and they need more funding. https://t.co/vzW1mnfpD0,2020-04-30 19:15:37,Twitter Web App,18,32
The only way we can begin to reopen our economy is by ramping up testing. This new federal funding will give us the additional resources we need to test more people and help stop the spread of COVID-19 in our state. https://t.co/Wp9igpZQuT,2020-04-24 18:33:19,TweetDeck,6,23
We need #ClimateActionNow https://t.co/TkQXSxxz9a,2020-04-22 23:34:31,Twitter for iPhone,6,19
UPDATE: the Senate just passed a relief bill providing $310B to help small businesses affected by COVID-19.  If you own a small businesses &amp; couldn't access the first round of funding or didn’t get your loan approved in time you now have another chance to access federal dollars. https://t.co/VdMAkRgu0z,2020-04-22 01:23:14,Twitter Web App,3,10
By ignoring science &amp; experts President Trump has caused mass preventable deaths. His impatience to reopen the country will cause even more.   We’re introducing a bill to create an independent commission to put politics aside when determining how &amp; when to reopen the country. https://t.co/YGx1H5LGc2,2020-04-16 16:20:06,Twitter Web App,17,60
NOW AVAILABLE: you can check the status of your direct payment and provide the IRS with your direct deposit information so that you get your cash payment quicker with this new portal.  Here's the link to the portal: https://t.co/1yF4ZLRS3W https://t.co/F4byAoKhlD,2020-04-15 19:47:17,Twitter Web App,8,11
Hawai'i airport workers and the entire airline industry have taken a significant hit during this crisis. This new federal funding will help save jobs and keep our airports across the state running. https://t.co/kmnMKDCjvx,2020-04-15 00:07:00,TweetDeck,11,48
Reopening communities schools &amp; businesses following a pandemic is a serious public health matter. We should treat it that way.   I'm introducing a bill that will create a panel of independent experts to help us determine how we can reopen the country when it is safe to do so. https://t.co/oKQZq5hhLp,2020-04-14 21:45:47,Twitter Web App,8,38
This Census Day take a few minutes to #GetCounted.  The safest and easiest way to respond is to fill it out online https://t.co/n1cA5guVHk or call (844) 330-2020 #2020CensusChallenge https://t.co/IYnYkACaXQ,2020-04-02 02:34:00,TweetDeck,6,11
At least $4 billion from the federal government are on the way to Hawai‘i. This new funding will support state and local response efforts and help Hawai‘i families and businesses struggling to get by.https://t.co/HpKimfH4R5,2020-03-31 18:49:27,TweetDeck,8,27
For those of us in Congress it's our job to make sure that people can survive during the #coronavirus pandemic.   We still have more work to do but this $2 trillion relief bill is a good start &amp; will help people ride out this storm.  https://t.co/8l19PbO94F,2020-03-27 00:01:00,TweetDeck,26,101
Our health care workers need help now.  This means producing more masks gloves &amp; ventilators so that they can keep themselves &amp; their patients safe.  Our new bill will immediately ramp up production of these critical medical supplies. Hear more ⬇️ https://t.co/te2UCDOOh3,2020-03-24 17:16:57,Twitter Web App,7,38
Starting now you can take the #2020Census.  You can respond online over the phone or by mail—the safest &amp; easiest ways to #GetCounted.  Please take a few minutes to visit https://t.co/PAZqoqYDUE.,2020-03-13 19:45:48,Twitter Web App,8,16
It’s vital to public health that people who feel sick can stay home without fear of going broke. We need to expand unemployment benefits to those who are unable to work due to a public health emergency.   That’s why we’re introducing the #Coronavirus Worker Relief Act. https://t.co/x6Kq0VZAN9,2020-03-12 18:04:20,Twitter Web App,8,35
UPDATE: today Hawai‘i gained access to more than $4.5M in emergency federal funds to help our state respond to the #coronavirus.    This is a good first step and we're working on more ways to keep people safe during this outbreak.   https://t.co/1HRCdBPhBs,2020-03-11 19:35:41,Twitter Web App,1,12
🤝 = 🚫 🤙 = ✅ https://t.co/jU1Ik6KxQM,2020-03-10 20:53:54,Twitter Web App,6,23
The #coronavirus emergency funding bill includes our provision to expand telehealth care in outbreak areas for those on Medicare.  This will help reduce disease spread &amp; keep our most vulnerable communities healthy. Read more ⬇️ https://t.co/2Ese1ju8SP,2020-03-09 20:42:31,Twitter Web App,5,17
Yesterday the House and Senate approved emergency funds to help states manage the #coronavirus outbreak.  This means that Hawai‘i will receive at least $4.5M to help our state's response. https://t.co/FO3UEqen9m,2020-03-06 21:21:59,Twitter Web App,3,17
Me again: Why are you cutting $5 billion from public education?  DeVos: … freedom ¯\_(ツ)_/¯ https://t.co/AoHKAv0rJV https://t.co/LHxfNDkGmT,2020-03-05 22:12:09,Twitter Web App,17,36
Me: Why are you cutting $5 billion from public education?  @BetsyDeVosED: Priorities?  🤦‍♂️ https://t.co/DjjmjxBCwq,2020-03-05 22:11:30,Twitter Web App,29,65
We need to hear more about the #coronavirus from scientists &amp; public health experts — not pundits &amp; politicians.   Yesterday I asked CDC leadership about the spread of the virus &amp; urged them to hold a daily public briefing so we can get all the facts. https://t.co/GWTYvyGRVj,2020-03-05 17:36:34,Twitter Web App,55,199
At least $4.5M is headed to Hawai‘i as part of Congress's bipartisan emergency funding bill to manage the #coronavirus outbreak.   While there are still no confirmed cases in Hawai‘i this federal money will help support our state's response efforts &amp; keep our families safe. https://t.co/fB6S98VIbk,2020-03-05 01:31:56,Twitter for iPhone,13,44
From Honolulu to Helsinki to Hanoi millions around the world will mobilize for a better planet on #EarthDay2020.  Join the @EarthDayNetwork movement &amp; demand climate action now. https://t.co/NibhkxXfaa,2020-03-03 23:01:00,TweetDeck,3,4
All Americans deserve fair &amp; equal treatment under the law no matter how much money is in their bank accounts.  Today we're introducing the State Justice Improvement Act to help states reform these financial punishment policies. https://t.co/4eNLLG8Cai https://t.co/tnihE1GgPd,2020-03-03 17:11:50,Twitter Web App,19,39
Courts often impose fines fees &amp; cash bail as punishments — and those who can't pay face more serious consequences like incarceration.  This disproportionately impacts low income &amp; communities of color trapping them in a cycle of poverty &amp; prison. https://t.co/2XBkYkTwYB,2020-03-03 17:11:11,Twitter Web App,12,16
During #WomensHistoryMonth we celebrate women’s contributions &amp; recognize the barriers they continue to face.  Each Monday this March I’ll feature on my Instagram a woman who blazed trails &amp; made Hawai‘i a better place.    Follow for more: https://t.co/1bqpBstJGL,2020-03-02 01:18:03,TweetDeck,1,10
Want to see more of what I’m up to in Washington &amp; at home in Hawai‘i?  Follow me on Instagram 📸 https://t.co/1bqpBstJGL https://t.co/bTFdRW2Oub,2020-02-27 18:50:10,Twitter Web App,2,9
Hawaiʻi credit unions are expanding access to quality affordable financial services for our families &amp; offering economic stability for our communities.  Today we discussed with @HawaiiCULeague members some of the issues that Hawaiʻi families face every day. Mahalo for visiting. https://t.co/SKqkFqsRqq,2020-02-26 18:47:56,Twitter Web App,2,10
The Trump administration's response to the #Coronavirus is unacceptable. They have communicated poorly with state officials left key positions unfilled &amp; want to cut preparedness &amp; response funding.   Today I demanded answers from Trump official @SecAzar. https://t.co/2fxcuPD3gU,2020-02-26 01:01:00,TweetDeck,5,25
It's unacceptable that we won't have functioning test kits to detect the #Coronavirus until mid-March. Port of entry states need those kits to make sure our families are safe &amp; healthy.  Watch my exchange with @SecAzar below 📺 https://t.co/ILsj1aj8Ou,2020-02-25 23:15:00,TweetDeck,19,48
While the Trump administration struggles to respond to the #Coronavirus outbreak and asks for emergency funding today @SecAzar is defending massive cuts to the very programs that fight infectious diseases.  This is absurd. https://t.co/0aPzAGDndi,2020-02-25 21:25:39,TweetDeck,353,604
There are no confirmed cases of #coronavirus in Hawaiʻi but we're working hard to get new test kits from the CDC to our state as soon as possible.  📻 hear more in last week's interview with Hawai‘i Public Radio https://t.co/y8mU6P0UOr,2020-02-25 01:02:00,TweetDeck,120,187
Hawai‘i is the third largest producer of avocados in the country. That's why the avocado lace bug poses a direct threat to this $1.6 million industry.  @USDA must step in &amp; provide our state with more resources to fight this invasive pest.  https://t.co/ssJyDGtjhF,2020-02-24 21:14:11,TweetDeck,10,20
Climate change is about more than the environment. Rising seas severe storms &amp; other climate risks pose a major threat to our national security too.  Read more about last week's @SenDemsClimate hearing ⬇️  https://t.co/riF9ftH0J1,2020-02-20 21:00:00,TweetDeck,9,25
This new $3.7M federal grant for Kona International Airport will make it easier to travel to and from our state. #HINews https://t.co/PZS7y7xa2R,2020-02-20 18:17:58,Twitter Web App,0,6
There should be a global health security expert on the National Security Council coordinating the response to outbreaks like the coronavirus.  But the Trump administration has left that job vacant for nearly 2 years.  They need to fill the job immediately. https://t.co/PNB580uhi3,2020-02-19 19:03:00,TweetDeck,29,84
We have an administration that is incompetent and doesn’t care about science or governing.  Fortunately state governments like Hawai'i are cleaning up the mess — no thanks to the White House. https://t.co/faVPuejbZo,2020-02-19 03:21:11,TweetDeck,7,56
Proud to announce our nominees for America's service academies. I look forward to seeing these young men and women grow into the next generation of military leaders. https://t.co/enTOoP8Zx4,2020-02-15 18:02:00,TweetDeck,3,15
State &amp; local health officials are leading the effort to contain the coronavirus outbreak. They deserve to be reimbursed by the federal government for those costs.   We're working to make that process easier ⬇️  https://t.co/w24JvgGS72,2020-02-14 21:43:46,Twitter Web App,2,11
Ranchers on Hawai‘i Island need @USDA to help eradicate the invasive spittlebug &amp; protect our state's vibrant agricultural economy. https://t.co/VMUdOGz7lr,2020-02-14 03:00:00,TweetDeck,4,13
Climate change is about more than the environment. Rising seas severe storms &amp; other climate risks pose a major threat to our national security too.  Thanks @SenDuckworth for leading this important @SenDemsClimate hearing. https://t.co/oid3lJmBh9,2020-02-13 23:00:00,TweetDeck,7,21
Congress not the president has the constitutional authority to declare war.   Today the Senate passed our War Powers Resolution to prevent the president from pulling us into another catastrophic war. https://t.co/wrjkE1XCNE,2020-02-13 20:56:21,Twitter Web App,13,50
The spittlebug could destroy Hawai‘i’s proud heritage of ranching. @USDA must step in &amp; help eradicate this invasive pest before it can further decimate our pastures. https://t.co/LoXS8Eepwv,2020-02-13 18:11:11,TweetDeck,4,11
Climate change poses major risks to our financial system — and federal regulators are finally starting to pay attention.  I asked @FederalReserve Chair Jay Powell about the crisis &amp; he confirmed he's looking seriously at climate-related financial risks. Let's hold him to it ⬇️ https://t.co/6YP3AyCVgf,2020-02-12 23:01:00,TweetDeck,3,15
New research ships mean that @NOAA can continue to protect our oceans and Hawai‘i’s natural resources — including Papahanaumokuakea.https://t.co/Xs7fqwyHnb,2020-02-12 19:12:02,TweetDeck,5,14
Our harbors keep our state connected and our local economy moving.  This new $8 million in federal funding will help maintain &amp; improve the safety of our harbors on Maui &amp; Molokai so that residents can get the food &amp; goods they need. https://t.co/OmcZfzpatD,2020-02-11 02:32:00,TweetDeck,0,14
For the first time in recent history Hawaii’s elected leaders at the federal state and county level are joining forces to attack the housing crisis.  Read more 👇 https://t.co/2TeeJxnMug,2020-02-10 22:03:54,Twitter Web App,1,17
Billions of federal dollars for housing health care education and transportation hinge on the #2020Census. To make sure we get our fair share we need an accurate count of everyone living in Hawaiʻi.  When you get your invitation to participate make sure you get counted. https://t.co/S38jDssH7o,2020-02-07 22:02:00,TweetDeck,1,8
With more than a dozen helicopter accidents in Hawaii over the last five years we need answers from the FAA and stronger protections to keep people safe. https://t.co/ujC3d7Jh92,2020-02-06 23:02:00,TweetDeck,3,15
A fair trial means having witnesses and documents. There's no excuse for us not to hear from John Bolton and anyone else at the scene of the crime. https://t.co/J37jV1hvKZ,2020-01-30 00:36:07,TweetDeck,98,310
